,options_a,options_b,options_c,options_d,year,answer,Explanation,shortQuestion,QuestionHeader
183,1,2,3,4,SSC MTS 10-10-2017 (Shift-I),a,"Ans: (a) In the above sentence get (V 1) will be used in place of got (V2) because second clause is in present indefinite tense (keep). Hence v1 (get) will be used in the other clause.  Correct Sentence :  Since they get  something different each month, they keep coming back to it.",(3)/ No Error (4),"In the following question, Some part of sentence have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select ""No Error"" Since they got something (1)/ different each month, (2)/they keep coming back to it."
184,1,2,3,4,SSC MTS 11-10-2017 (Shift-III),b,"Ans. (b) :  In the above sentence 'were' will be used in place of 'are' because it is clear from the use of 'we missed and were paid' in the sentence that the sent ence is in past tense.  Correct Sentence :  Even if we missed a day's work, out  salaries were  not cut and we  were paid in full.",(3)/ No Error (4),"In the following question, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select 'No Error' Even if we missed a day's work, (1)/ out salaries are not cut and we (2) / were paid in full."
185,1,2,3,4,SSC MTS 11-10-2017 (Shift-I),Assertive,"Ans: ( b) In the above sentence 'helped' will be used in place of 'did helped' because in affirmative senten ces of past Indefinite tense, only second form of verb is used without 'did'.  Note– S + VIInd form + Obj. (Assertive)  Sub + did not + V1 + Obj. (Negative)  Did + Sub + V1 + Obj. (Interrogative)       Correct Sentence :  Over the years our trainers helped  students to clear the language tests for various countries.",(3)/ No Error (4),"In the following question, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option Over the years our trainers (1)/did helped students to clear the (2)/language tests for various countries."
186,and asks her why,she had insulted him,No error,He went up to her,SSC MTS – 06/08/2019 (Shift-III)Spotting Error 36 YCT,a,Ans. (a) :  In the above sentence 'asked' will be used in place of 'ask' because first clause (went) in past tense. Hence second clause will be in past Indefinite tens e. Correct Sentence-  He went up to her and asked  her why she had insulted him.,He went up to her and asks her why she had insulted him/No error,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'"
187,He has deposits,money in banks,up all his,No error,SSC MTS – 06/08/2019 (Shift-III),a,Ans. (a) :  In the above sentence Deposited (V3) will be used in place of 'Deposits' because it is clear fro m the use of 'has' that the sentence is in present perfec t tense. has/ have + V3  hence will be used.  Correct sentence :  He has deposited  all his money in banks.,He has deposits all his money in banks/No error,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'"
188,the accident,me since,upset with,Kaira has,SSC MTS – 22/08/2019 (Shift-III),d,Ans. (d) :  In the above sentence 'has been' will be used in place of 'has' because it is clear from the use of 'Since + point of time' that the sentence is in Pre sent Perfect continuous hence 'has been' + v3' is used. Correct Sentence :-   Kaira has been  upset with me since the accident.,Kaira has upset with me since the accident,Identify the segment which contains the grammatical error.
189,so that she should watch,Radha woke up,early that morning,the beautiful sunrise,SSC MTS – 22/08/2019 (Shift-II),a,Ans. (a) :  In the above sentence 'could' will be used in place of 'should' because could will be used for possibility. Correct sentence :  Radha woke up that morning so that she could  watch the  beautiful sunrise.,Radha woke up early that morning so that she should watch the beautiful sunrise,Identify the segment in the sentence which contains the grammatical error.
190,two hours every morning,in different languages,reading newspapers,Harish is spending,SSC MTS – 22/08/2019 (Shift-II),d,Ans. (d) :  In the above sentence 'spends' will be used in place of 'is spending' because Present Indefinit e tense is used for habitual action.  Correct Sentence :  Harish spends  two hours every morning reading newspapers in different languages.,Harish is spending two hours every morning reading newspapers in different languages,Identify the segment in the sentence which contains the grammatical error.
191,He started life,as a teacher,to journalism,before turn,SSC MTS – 22/08/2019 (Shift-II) ,d,"Ans. (d) :  In the above sentence 'before turning' will be used in place of 'before turn'  Rule :– Preposition at, in, on, to , before, after,  for, from, about etc are followed by verb's ing form.  Correct sentence  :-  He started life as a teacher before turning  to journalism.",He started life as a teacher before turn to journalism,Identify the segment in the sentence which contains the grammatical error from the given options.
192,the more he,No error,want to earn,The more he earned,SSC MTS – 08/08/2019 (Shift-I),c,Ans. (c) :  In the above sentence 'wanted' will be used in place of 'want' because if the main clause of th e sentence is in the past tense then other clause als o will be used in the past.  Correct sentence :-  The more he earned the more he wanted  to earn.,The more he earned the more he want to earn/No error,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'"
193,Either of the,No error,will met my requirement,two books,SSC MTS – 06/08/2019 (Shift-I),c,Ans. (c) :  In the above sentence 'will meet' will be used in place of 'will met' because Ist form of verb is used with modal verb 'will'.  Correct sentence :-  Either of the two books will meet  my requirement.,Either of the two books will met my requirement/No error,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'"
194,No error,who you could approach,for your problem,She wanted telling you,SSC MTS – 02/08/2019 (Shift-III),d,"Ans. (d) :  In the above sentence 'she wanted to tell you' will be used in place of 'she wanted to tellin g you' because verb 1 with infinitive 'to'  Note–  Want, promise, learn, manage etc. (to +V 1)  Correct sentence  :- She wanted to tell  you who you could approach for your problem. Spotting Error 37 YCT",She wanted to telling you who you could approach for your problem/No error,"Find the part of the given sentence that has an error in it If there is no error, choose No error'"
195,All the students,is done,No error,better this year,SSC MTS – 02/08/2019 (Shift-II),b,Ans. (b) :  In the above sentence 'have done' will be used in place of 'is done' because according to the  sense of the sentence it is in present perfect tens e. Hence has/have + V3 will be used. Correct sentence  :- All the students have done  better this year.,All the students/is done/better this year,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'."
196,to said,No error,such things,Rakesh is foolish,SSC MTS – 02/08/2019 (Shift-II),a,Ans. (a) :  In the above sentence 'to say' will be used in place of 'to said' because the verb coming after 't o' is in VIst form. Note - to + verb 1 Correct sentence  :- Rakesh is foolish to say  such things.,Rakesh is foolish/to said/such things,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'."
197,dress for me,I told the tailor,No error,to made a new,SSC MTS – 02/08/2019 (Shift-I),d,Ans. (d) :  In the above sentence 'To make a new' will be used in place of 'to made a new' because to + VI is use as infinitive.  Correct sentence  :- I told the tailor to make  a new dress for me.,I told the tailor/to made a new/dress for me/No error,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error '"
